First,Last,Party,State
John,Pastore,D,RI
Wallace,Bennett,R,UT
John,Butler,R,MD
Francis,Case,R,SD
Everett,Dirksen,R,IL
George,Smathers,D,FL
Herman,Welker,R,ID
James,Duff,R,PA
Thomas,Underwood,D,KY
Blair,Moody,D,MI
Fred,Seaton,R,NE
William,Purtell,R,CT
Prescott,Bush,R,CT
Dwight,Griswold,R,NE
Charles,Potter,R,MI
Thomas,Kuchel,R,CA
Frank,Barrett,R,WY
Barry,Goldwater,R,AZ
Albert,Gore,D,TN
Henry,Jackson,D,WA
John,Kennedy,D,MA
Mike,Mansfield,D,MT
Frederick,Payne,R,ME
Stuart,Symington,D,MO
Alton,Lennon,D,NC
Robert,Upton,R,NH
Thomas,Burke,D,OH
Eva,Bowring,R,NE
Edward,Crippa,R,WY
Samuel,Reynolds,R,NE
Charles,Daniel,D,SC
Ernest,Brown,R,NV
Hazel,Abel,R,NE
Norris,Cotton,R,NH
Roman,Hruska,R,NE
Alan,Bible,D,NV
George,Bender,R,OH
Strom,Thurmond,I,SC
Carl,Curtis,R,NE
Gordon,Allott,R,CO
Clifford,Case,R,NJ
Thomas,Martin,R,IA
Richard,Neuberger,D,OR
Thomas,Wofford,D,SC
Robert,Humphreys,D,KY
John,Carroll,D,CO
Frank,Church,D,ID
Joseph,Clark,D,PA
Frank,Lausche,D,OH
Thruston,Morton,R,KY
Herman,Talmadge,D,GA
Jacob,Javits,R,NY
William,Blakley,D,TX
Ralph,Yarborough,D,TX
William,Proxmire,D,WI
Jennings,Randolph,D,WV
Edward,Bartlett,D,AK
Robert,Byrd,D,WV
Howard,Cannon,D,NV
Thomas,Dodd,D,CT
Clair,Engle,D,CA
Ernest,Gruening,D,AK
Philip,Hart,D,MI
Vance,Hartke,D,IN
Kenneth,Keating,R,NY
Frank,Moss,D,UT
Edmund,Muskie,D,ME
Winston,Prouty,R,VT
Hugh,Scott,R,PA
Stephen,Young,D,OH
Oren,Long,D,HI
Hiram,Fong,R,HI
Hall,Lusk,D,OR
Quentin,Burdick,D,ND
Edward,Long,D,MO
Maurine,Neuberger,D,OR
Benjamin,Smith,D,MA
Lee,Metcalf,D,MT
Jack,Miller,R,IA
Claiborne,Pell,D,RI
John,Tower,R,TX
James,Pearson,R,KS
Joe,Bottum,R,SD
Leonard,Jordan,R,ID
Edward,Kennedy,D,MA
Milward,Simpson,R,WY
Edwin,Mechem,R,NM
Birch,Bayh,D,IN
Daniel,Brewster,D,MD
Peter,Dominick,R,CO
Daniel,Inouye,D,HI
Abraham,Ribicoff,D,CT
Gaylord,Nelson,D,WI
Herbert,Walters,D,TN
Pierre,Salinger,D,CA
Ross,Bass,D,TN
Fred,Harris,D,OK
Joseph,Montoya,D,NM
Walter,Mondale,D,MN
George,Murphy,R,CA
Paul,Fannin,R,AZ
Robert,Kennedy,D,NY
Joseph,Tydings,D,MD
Donald,Russell,D,SC
Robert,Griffin,R,MI
Ernest,Hollings,D,SC
Edward,Brooke,R,MA
Clifford,Hansen,R,WY
Charles,Percy,R,IL
Mark,Hatfield,R,OR
Charles,Goodell,R,NY
Marlow,Cook,R,KY
Ted,Stevens,R,AK
Thomas,Eagleton,D,MO
James,Allen,D,AL
