Date,Price,Partisan Investing,Job Postings,Equity Investment,Risk Free Rate,Twitter Posts,Twitter Impressions,Twitter Sentiment,Peer Twitter Posts,Peer Twitter Impressions,Peer Twitter Sentiment,Investment in R&D,Environmental Score,Social Score,Governance Score,Peer Investments in R&D,Peer Environmental Score,Peer Social Score,Peer Governance Score,Bipartisan Buying,Bipartisan Selling
2023-04-17,105.97,1.0,0.807977623738295,0.9477643725088765,0.7745098039215688,41.0,519.936,4.981,14.666666666666666,161.266,4.960333333333334,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,3.6948795035756675e-09,-4.441169654256786e-13
2023-04-18,104.5,1.0,0.8081600389152377,0.9477643725088765,0.723529411764706,5.0,8.917,5.133,3.6666666666666665,7.882666666666667,6.229666666666667,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,1.8474397517878333e-09,-2.220584827128393e-13
2023-04-19,104.18,1.0,0.8075519883254286,0.9477643725088765,0.7215686274509805,9.0,57.444,5.117000000000001,7.0,422.578,5.161333333333333,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,9.237198758939167e-10,-1.1102924135641965e-13
2023-04-20,105.29,1.0,0.8078560136203332,0.9477643725088765,0.6509803921568628,1.0,8.868,5.667,4.0,26.70266666666667,5.621333333333334,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,4.618599379469584e-10,-5.5514620678209825e-14
2023-04-21,105.41,1.0,0.8085248692691231,0.9477643725088765,0.6450980392156863,5.0,10.196,6.308,6.333333333333333,29.864333333333327,5.991666666666667,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,2.309299689734792e-10,-2.7757310339104912e-14
2023-04-22,105.41,1.0,0.8107138513924359,0.9477643725088765,0.6450980392156863,2.0,8.871,6.115,2.0,15.943,5.288,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,1.154649844867396e-10,-1.3878655169552456e-14
2023-04-23,105.41,1.0,0.8109570716283595,0.9477643725088765,0.6450980392156863,2.0,8.871,6.115,1.6666666666666667,25.947666666666667,5.060666666666666,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,5.7732492243369805e-11,-6.9393275847762265e-15
2023-04-24,105.97,1.0,0.8114435121002066,0.9477643725088765,0.6666666666666667,10.0,297.216,5.922,10.333333333333334,232.238,5.996666666666667,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,2.8866246121684902e-11,-3.4696637923881137e-15
2023-04-25,103.85,1.0,0.8116867323361304,0.9477643725088765,0.7686274509803922,6.0,260.437,5.4030000000000005,6.333333333333333,48.295666666666655,5.674,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,1.4433123060842451e-11,-1.7348318961940568e-15
2023-04-26,103.71,1.0,0.8127812233977866,0.9477643725088765,0.711764705882353,59.0,902.742,5.241,21.666666666666668,163.13266666666667,5.608333333333334,0.1396569036410035,76.51,55.52,60.8,0.2601482080196405,54.37166666666667,55.53833333333333,60.175,7.2165615304212256e-12,-8.674159480970284e-16
